name,parent,status,notes
Chatbot_SEC.ipynb,agent,,
openai_agent.ipynb,agent,,
openai_forced_function_call.ipynb,agent,,
custom_agent.ipynb,agent,,
openai_assistant_query_cookbook.ipynb,agent,,
agent_runner,agent,,
openai_agent_retrieval.ipynb,agent,,
react_agent_with_query_engine.ipynb,agent,,
openai_assistant_agent.ipynb,agent,,
multi_document_agents-v1.ipynb,agent,,
openai_agent_parallel_function_calling.ipynb,agent,,
react_agent.ipynb,agent,,
agent_builder.ipynb,agent,,
openai_agent_context_retrieval.ipynb,agent,,
multi_document_agents.ipynb,agent,,
openai_agent_with_query_engine.ipynb,agent,,
openai_agent_query_cookbook.ipynb,agent,,
openai_agent_query_plan.ipynb,agent,,
openai_retrieval_benchmark.ipynb,agent,,
PlaygroundDemo.ipynb,analysis,,
HoneyHiveLlamaIndexTracer.ipynb,callbacks,,
PromptLayerHandler.ipynb,callbacks,,
TokenCountingHandler.ipynb,callbacks,,
LlamaDebugHandler.ipynb,callbacks,,
OpenLLMetry.ipynb,callbacks,,
WandbCallbackHandler.ipynb,callbacks,,
AimCallback.ipynb,callbacks,,
OpenInferenceCallback.ipynb,callbacks,,
chat_engine_personality.ipynb,chat_engine,,
chat_engine_openai.ipynb,chat_engine,,
chat_engine_context.ipynb,chat_engine,,
chat_engine_best.ipynb,chat_engine,,
chat_engine_react.ipynb,chat_engine,,
chat_engine_repl.ipynb,chat_engine,,
chat_engine_condense_plus_context.ipynb,chat_engine,,
chat_engine_condense_question.ipynb,chat_engine,,
pdf_page_reference.ipynb,citation,,
ComposableIndices-Prior.ipynb,composable_indices,,
financial_data_analysis,composable_indices,,
ComposableIndices.ipynb,composable_indices,,
index_pg.json,composable_indices,,
index_nyc.json,composable_indices,,
city_analysis,composable_indices,,
index_graph2.json,composable_indices,,
ComposableIndices-Weaviate.ipynb,composable_indices,,
index_graph.json,composable_indices,,
streaming,customization,,
prompts,customization,,
llms,customization,,
10q,data,,
gpt4_experiments,data,,
10k,data,,
images,data,,
csv,data,,
email,data,,
paul_graham,data,,
simple_directory_reader_parallel.ipynb,data_connectors,,
DeepLakeReader.ipynb,data_connectors,,
PsychicDemo.ipynb,data_connectors,,
QdrantDemo.ipynb,data_connectors,,
html_tag_reader.ipynb,data_connectors,,
DiscordDemo.ipynb,data_connectors,,
MongoDemo.ipynb,data_connectors,,
ChromaDemo.ipynb,data_connectors,,
MyScaleReaderDemo.ipynb,data_connectors,,
FaissDemo.ipynb,data_connectors,,
ObsidianReaderDemo.ipynb,data_connectors,,
SlackDemo.ipynb,data_connectors,,
WebPageDemo.ipynb,data_connectors,,
PineconeDemo.ipynb,data_connectors,,
MboxReaderDemo.ipynb,data_connectors,,
README.md,data_connectors,,
MilvusReaderDemo.ipynb,data_connectors,,
NotionDemo.ipynb,data_connectors,,
DashvectorReaderDemo.ipynb,data_connectors,,
PathwayReaderDemo.ipynb,data_connectors,,
deplot,data_connectors,,
GithubRepositoryReaderDemo.ipynb,data_connectors,,
simple_directory_reader.ipynb,data_connectors,,
GoogleDocsDemo.ipynb,data_connectors,,
DatabaseReaderDemo.ipynb,data_connectors,,
TwitterDemo.ipynb,data_connectors,,
WeaviateDemo.ipynb,data_connectors,,
MakeDemo.ipynb,data_connectors,,
document_management,discover_llamaindex,,
DynamoDBDocstoreDemo.ipynb,docstore,,
RedisDocstoreIndexStoreDemo.ipynb,docstore,,
MongoDocstoreDemo.ipynb,docstore,,
FirestoreDemo.ipynb,docstore,,
DocstoreDemo.ipynb,docstore,,
fastembed.ipynb,embeddings,,
text_embedding_inference.ipynb,embeddings,,
clarifai.ipynb,embeddings,,
bedrock.ipynb,embeddings,,
voyageai.ipynb,embeddings,,
ollama_embedding.ipynb,embeddings,,
gradient.ipynb,embeddings,,
custom_embeddings.ipynb,embeddings,,
gemini.ipynb,embeddings,,
huggingface.ipynb,embeddings,,
Anyscale.ipynb,embeddings,,
jinaai_embeddings.ipynb,embeddings,,
mistralai.ipynb,embeddings,,
dashscope_embeddings.ipynb,embeddings,,
jina_embeddings.ipynb,embeddings,,
llm_rails.ipynb,embeddings,,
google_palm.ipynb,embeddings,,
sagemaker_embedding_endpoint.ipynb,embeddings,,
Langchain.ipynb,embeddings,,
elasticsearch.ipynb,embeddings,,
OpenAI.ipynb,embeddings,,
cohereai.ipynb,embeddings,,
together.ipynb,embeddings,,
TonicValidateEvaluators.ipynb,evaluation,,
semantic_similarity_eval.ipynb,evaluation,,
batch_eval.ipynb,evaluation,,
mt_bench_human_judgement.ipynb,evaluation,,
mt_bench_single_grading.ipynb,evaluation,,
answer_and_context_relevancy.ipynb,evaluation,,
prometheus_evaluation.ipynb,evaluation,,
faithfulness_eval.ipynb,evaluation,,
test_wiki_data,evaluation,,
HotpotQADistractor.ipynb,evaluation,,
RetryQuery.ipynb,evaluation,,
correctness_eval.ipynb,evaluation,,
UpTrain.ipynb,evaluation,,
QuestionGeneration.ipynb,evaluation,,
retrieval,evaluation,,
multi_modal,evaluation,,
BeirEvaluation.ipynb,evaluation,,
relevancy_eval.ipynb,evaluation,,
Deepeval.ipynb,evaluation,,
guideline_eval.ipynb,evaluation,,
pairwise_eval.ipynb,evaluation,,
gradient,finetuning,,
embeddings,finetuning,,
openai_fine_tuning_functions.ipynb,finetuning,,
rerankers,finetuning,,
eval_questions.txt,finetuning,,
finetuning_events.jsonl,finetuning,,
openai_fine_tuning.ipynb,finetuning,,
knowledge,finetuning,,
cross_encoder_finetuning,finetuning,,
train_questions.txt,finetuning,,
react_agent,finetuning,,
llm_judge,finetuning,,
router,finetuning,,
knowledge_graph,index_structs,,
struct_indices,index_structs,,
doc_summary,index_structs,,
async_ingestion_pipeline.ipynb,ingestion,,
parallel_execution_ingestion_pipeline.ipynb,ingestion,,
document_management_pipeline.ipynb,ingestion,,
ingestion_gdrive.ipynb,ingestion,,
advanced_ingestion_pipeline.ipynb,ingestion,,
redis_ingestion_pipeline.ipynb,ingestion,,
uploading_llama_dataset.ipynb,llama_dataset,,
labelled-rag-datasets.ipynb,llama_dataset,,
downloading_llama_datasets.ipynb,llama_dataset,,
ragdataset_submission_template.ipynb,llama_dataset,,
llama_pack_ollama.ipynb,llama_hub,,
llama_packs_example.ipynb,llama_hub,,
llama_hub.ipynb,llama_hub,,
llama_pack_resume.ipynb,llama_hub,,
rungpt.ipynb,llm,,
watsonx.ipynb,llm,,
openllm.ipynb,llm,,
openai_json_vs_function_calling.ipynb,llm,,
portkey.ipynb,llm,,
everlyai.ipynb,llm,,
palm.ipynb,llm,,
cohere.ipynb,llm,,
vertex.ipynb,llm,,
predibase.ipynb,llm,,
llama_api.ipynb,llm,,
clarifai.ipynb,llm,,
bedrock.ipynb,llm,,
llama_2.ipynb,llm,,
gradient_model_adapter.ipynb,llm,,
nvidia_tensorrt.ipynb,llm,,
xinference_local_deployment.ipynb,llm,,
azure_openai.ipynb,llm,,
gemini.ipynb,llm,,
huggingface.ipynb,llm,,
anyscale.ipynb,llm,,
vicuna.ipynb,llm,,
openrouter.ipynb,llm,,
llama_2_rap_battle.ipynb,llm,,
vllm.ipynb,llm,,
localai.ipynb,llm,,
llm_predictor.ipynb,llm,,
mistralai.ipynb,llm,,
monsterapi.ipynb,llm,,
ai21.ipynb,llm,,
llama_2_llama_cpp.ipynb,llm,,
nvidia_triton.ipynb,llm,,
perplexity.ipynb,llm,,
litellm.ipynb,llm,,
ollama.ipynb,llm,,
neutrino.ipynb,llm,,
langchain.ipynb,llm,,
sagemaker_endpoint_llm.ipynb,llm,,
openai.ipynb,llm,,
anthropic.ipynb,llm,,
gradient_base_model.ipynb,llm,,
azure_playground.png,llm,,
azure_env.png,llm,,
konko.ipynb,llm,,
together.ipynb,llm,,
oss_ingestion_retrieval.ipynb,low_level,,
fusion_retriever.ipynb,low_level,,
router.ipynb,low_level,,
retrieval.ipynb,low_level,,
evaluation.ipynb,low_level,,
response_synthesis.ipynb,low_level,,
vector_store.ipynb,low_level,,
ingestion.ipynb,low_level,,
vectaraDemo.ipynb,managed,,
manage_retrieval_benchmark.ipynb,managed,,
GoogleDemo.ipynb,managed,,
zcpDemo.ipynb,managed,,
MarvinMetadataExtractorDemo.ipynb,metadata_extraction,,
MetadataExtraction_LLMSurvey.ipynb,metadata_extraction,,
PydanticExtractor.ipynb,metadata_extraction,,
data,metadata_extraction,,
EntityExtractionClimate.ipynb,metadata_extraction,,
MetadataExtractionSEC.ipynb,metadata_extraction,,
llava_demo.ipynb,multi_modal,,
llava_multi_modal_tesla_10q.ipynb,multi_modal,,
replicate_multi_modal.ipynb,multi_modal,,
structured_image_retrieval.ipynb,multi_modal,,
gpt4v_experiments_cot.ipynb,multi_modal,,
multi_modal_retrieval.ipynb,multi_modal,,
openai_multi_modal.ipynb,multi_modal,,
mm_agent.ipynb,multi_modal,,
azure_openai_multi_modal.ipynb,multi_modal,,
gemini.ipynb,multi_modal,,
multi_modal_pdf_tables.ipynb,multi_modal,,
image_to_image_retrieval_lance.ipynb,multi_modal,,
ChromaMultiModalDemo.ipynb,multi_modal,,
multi_modal_pydantic.ipynb,multi_modal,,
gpt4v_multi_modal_retrieval.ipynb,multi_modal,,
image_to_image_retrieval.ipynb,multi_modal,,
multi_tenancy_rag.ipynb,multi_tenancy,,
semantic_chunking.ipynb,node_parsers,,
FileNodeProcessors.ipynb,node_postprocessor,,
MetadataReplacementDemo.ipynb,node_postprocessor,,
PII.ipynb,node_postprocessor,,
PrevNextPostprocessorDemo.ipynb,node_postprocessor,,
rankGPT.ipynb,node_postprocessor,,
LLMReranker-Gatsby.ipynb,node_postprocessor,,
SentenceTransformerRerank.ipynb,node_postprocessor,,
LLMReranker-Lyft-10k.ipynb,node_postprocessor,,
LongContextReorder.ipynb,node_postprocessor,,
CohereRerank.ipynb,node_postprocessor,,
RecencyPostprocessorDemo.ipynb,node_postprocessor,,
FlagEmbeddingReranker.ipynb,node_postprocessor,,
index_recency_test.json,node_postprocessor,,
LongLLMLingua.ipynb,node_postprocessor,,
OptimizerDemo.ipynb,node_postprocessor,,
TimeWeightedPostprocessorDemo.ipynb,node_postprocessor,,
object_index.ipynb,objects,,
llm_program.ipynb,output_parsing,,
openai_pydantic_program.ipynb,output_parsing,,
df_program.ipynb,output_parsing,,
evaporate_program.ipynb,output_parsing,,
openai_sub_question.ipynb,output_parsing,,
__pycache__,output_parsing,,
guidance_pydantic_program.ipynb,output_parsing,,
GuardrailsDemo.ipynb,output_parsing,,
LangchainOutputParserDemo.ipynb,output_parsing,,
directory.py,output_parsing,,
lmformatenforcer_pydantic_program.ipynb,output_parsing,,
lmformatenforcer_regular_expressions.ipynb,output_parsing,,
guidance_sub_question.ipynb,output_parsing,,
param_optimizer.ipynb,param_optimizer,,
query_pipeline.ipynb,pipeline,,
query_pipeline_pandas.ipynb,pipeline,,
query_pipeline_sql.ipynb,pipeline,,
query_pipeline_async.ipynb,pipeline,,
query_pipeline_routing.ipynb,pipeline,,
advanced_prompts.ipynb,prompts,,
emotion_prompt.ipynb,prompts,,
prompts_rag.ipynb,prompts,,
prompt_mixin.ipynb,prompts,,
prompt_optimization.ipynb,prompts,,
llama2_qa_citation_events.jsonl,prompts,,
knowledge_graph_rag_query_engine.ipynb,query_engine,,
JSONalyze_query_engine.ipynb,query_engine,,
RetrieverRouterQueryEngine.ipynb,query_engine,,
pgvector_sql_query_engine.ipynb,query_engine,,
SQLJoinQueryEngine.ipynb,query_engine,,
citation_query_engine.ipynb,query_engine,,
pandas_query_engine.ipynb,query_engine,,
ensemble_query_engine.ipynb,query_engine,,
json_query_engine.ipynb,query_engine,,
RouterQueryEngine.ipynb,query_engine,,
pydantic_query_engine.ipynb,query_engine,,
nebulagraph_draw.html,query_engine,,
cogniswitch_query_engine.ipynb,query_engine,,
pdf_tables,query_engine,,
SQLRouterQueryEngine.ipynb,query_engine,,
sec_tables,query_engine,,
recursive_retriever_agents.ipynb,query_engine,,
JointQASummary.ipynb,query_engine,,
multi_doc_auto_retrieval,query_engine,,
flare_query_engine.ipynb,query_engine,,
nebulagraph_draw_quill.html,query_engine,,
